Url,Image,Name,Price
https://diwanegypt.com/product/vintage-tattoo-tarot/,https://diwanegypt.com/wp-content/uploads/2024/11/9798890030504-450x600.jpg,Vintage Tattoo Tarot,"EGP1,500.00"
https://diwanegypt.com/product/today-i-noticed-a-little-book-of-mindfulness-that-will-chan/,https://diwanegypt.com/wp-content/uploads/2024/11/9781958803356-450x600.jpg,Today I Noticed: A Little Book of Mindfulness That Will Chan,EGP855.00
https://diwanegypt.com/product/classics-collection-federer-classic/,https://diwanegypt.com/wp-content/uploads/2024/11/9781649802385-450x600.jpg,Classics Collection: Federer (Classic),"EGP7,200.00"
https://diwanegypt.com/product/classics-collection-jaipur-splendor/,https://diwanegypt.com/wp-content/uploads/2024/11/9781649800688-450x600.jpg,Classics Collection: Jaipur Splendor,"EGP6,300.00"
https://diwanegypt.com/product/classics-collection-greek-islands/,https://diwanegypt.com/wp-content/uploads/2024/11/9781649800398-450x600.jpg,Classics Collection: Greek Islands,"EGP6,300.00"
https://diwanegypt.com/product/prediction-machines-the-simple-economics-of-artificial-inte/,https://diwanegypt.com/wp-content/uploads/2024/11/9781647824679-450x600.jpg,Prediction Machines: The Simple Economics of Artificial Intelligence,"EGP1,800.00"
https://diwanegypt.com/product/higher-ground-how-business-can-do-the-right-thing-in-a-turb/,https://diwanegypt.com/wp-content/uploads/2024/11/9781647823436-450x600.jpg,Higher Ground: How Business Can Do the Right Thing in a Turb,"EGP1,920.00"
https://diwanegypt.com/product/the-parisian-sibyl-52-card-deck-guidebook/,https://diwanegypt.com/wp-content/uploads/2024/11/9781646712335-450x600.jpg,The Parisian Sibyl (52-Card Deck & Guidebook),"EGP2,100.00"
https://diwanegypt.com/product/herbana-witch-oracle-50-card-deck-guidebook/,https://diwanegypt.com/wp-content/uploads/2024/11/9781646712113-450x600.jpg,Herbana Witch Oracle (50-Card Deck & Guidebook),"EGP1,440.00"
https://diwanegypt.com/product/lenormand-de-paris-38-card-deck-guidebook/,https://diwanegypt.com/wp-content/uploads/2024/11/9781646712083-450x600.jpg,Lenormand de Paris (38-Card Deck & Guidebook),"EGP2,100.00"
